,match
290,NA1_4061979035
291,NA1_4062011319
292,NA1_4061843878
293,NA1_4061766992
294,NA1_4061748880
295,NA1_4061234855
296,NA1_4061118000
297,NA1_4061089970
298,NA1_4060144626
299,NA1_4060106351
300,NA1_4060111277
301,NA1_4059997636
302,NA1_4057123005
303,NA1_4057007072
304,NA1_4056964911
305,NA1_4056066498
306,NA1_4048757095
307,NA1_4048801792
308,NA1_4048748183
309,NA1_4048697235
310,NA1_4048349463
311,NA1_4048346221
312,NA1_4048328277
313,NA1_4089450079
314,NA1_4089385899
315,NA1_4089382705
316,NA1_4089349864
317,NA1_4089284585
318,NA1_4089280498
319,NA1_4089254036
320,NA1_4089260035
321,NA1_4089148529
322,NA1_4088608187
323,NA1_4088602275
324,NA1_4088518246
325,NA1_4088498894
326,NA1_4088492353
327,NA1_4088242857
328,NA1_4088227705
329,NA1_4088186426
330,NA1_4088193143
331,NA1_4088162541
332,NA1_4088119088
333,NA1_4088136287
334,NA1_4088124637
335,NA1_4087823954
336,NA1_4087678529
337,NA1_4087196785
338,NA1_4087163857
339,NA1_4087152369
340,NA1_4087200254
341,NA1_4086396622
342,NA1_4086403850
343,NA1_4086380459
344,NA1_4086326804
345,NA1_4086302397
346,NA1_4086237907
347,NA1_4086183538
348,NA1_4086152187
349,NA1_4086130696
350,NA1_4086098723
351,NA1_4086106143
352,NA1_4086085035
353,NA1_4086093275
354,NA1_4086092327
355,NA1_4086081447
356,NA1_4085304421
357,NA1_4085321725
358,NA1_4085310107
359,NA1_4085277378
360,NA1_4085275682
361,NA1_4085274359
362,NA1_4085234028
363,NA1_4085242231
364,NA1_4085221306
365,NA1_4085179275
366,NA1_4085177780
367,NA1_4085176071
368,NA1_4085193613
369,NA1_4085200846
370,NA1_4085109223
371,NA1_4085115724
372,NA1_4085091454
373,NA1_4085046564
374,NA1_4085009325
375,NA1_4084963929
376,NA1_4084888246
377,NA1_4084902031
378,NA1_4084847013
379,NA1_4084823491
380,NA1_4084778389
381,NA1_4084710211
382,NA1_4084500498
383,NA1_4083417335
384,NA1_4083463917
385,NA1_4083422260
386,NA1_4083388866
387,NA1_4083395986
388,NA1_4083383143
389,NA1_4083332909
390,NA1_4083350176
391,NA1_4083317227
392,NA1_4083267183
393,NA1_4083324041
