,match
2914,NA1_4087800694
2915,NA1_4087736954
2916,NA1_4087673199
2917,NA1_4087617696
2918,NA1_4087661713
2919,NA1_4086929117
2920,NA1_4086878411
2921,NA1_4086876299
2922,NA1_4086893689
2923,NA1_4086890240
2924,NA1_4086014439
2925,NA1_4085978074
2926,NA1_4085973554
2927,NA1_4085952305
2928,NA1_4085172347
2929,NA1_4085151674
2930,NA1_4085137168
2931,NA1_4084393574
2932,NA1_4084360954
2933,NA1_4084288663
2934,NA1_4082391630
2935,NA1_4082350520
2936,NA1_4082287186
2937,NA1_4081283858
2938,NA1_4081292109
2939,NA1_4081219637
2940,NA1_4079348395
2941,NA1_4079385314
2942,NA1_4079373473
2943,NA1_4079319157
2944,NA1_4078286892
2945,NA1_4078263976
2946,NA1_4078208873
2947,NA1_4078174540
2948,NA1_4077481654
2949,NA1_4077389174
2950,NA1_4077436279
2951,NA1_4077383779
2952,NA1_4076411091
2953,NA1_4076319306
2954,NA1_4076327650
2955,NA1_4076296319
2956,NA1_4076265167
2957,NA1_4074672141
2958,NA1_4074439292
2959,NA1_4074452251
2960,NA1_4073429174
2961,NA1_4073026067
2962,NA1_4073061973
2963,NA1_4072989245
2964,NA1_4072966303
2965,NA1_4071884915
2966,NA1_4071873790
2967,NA1_4071862230
2968,NA1_4071779526
2969,NA1_4071825244
2970,NA1_4071822173
2971,NA1_4071760618
2972,NA1_4071046878
2973,NA1_4071005027
2974,NA1_4071012175
2975,NA1_4070938897
2976,NA1_4069976488
2977,NA1_4069992423
2978,NA1_4069937301
2979,NA1_4069466862
2980,NA1_4069503725
2981,NA1_4069175555
2982,NA1_4069182282
2983,NA1_4069149047
2984,NA1_4069155687
2985,NA1_4069150704
2986,NA1_4068364279
2987,NA1_4068361453
2988,NA1_4068298346
2989,NA1_4068325964
2990,NA1_4067068642
2991,NA1_4066925836
2992,NA1_4066920052
2993,NA1_4066825685
2994,NA1_4066822705
2995,NA1_4066742047
2996,NA1_4066656776
2997,NA1_4066700276
2998,NA1_4066627838
2999,NA1_4066645168
3000,NA1_4066631350
3001,NA1_4066576441
3002,NA1_4066514289
3003,NA1_4066449680
3004,NA1_4066253110
3005,NA1_4066232123
3006,NA1_4066128730
3007,NA1_4088325633
3008,NA1_4088314486
3009,NA1_4087501675
3010,NA1_4087460467
3011,NA1_4087455463
3012,NA1_4086751246
3013,NA1_4086643353
3014,NA1_4086265317
3015,NA1_4086254211
3016,NA1_4085565774
3017,NA1_4085514439
3018,NA1_4085521974
3019,NA1_4085479390
3020,NA1_4082113778
3021,NA1_4081032608
3022,NA1_4026018593
3023,NA1_4025681862
3024,NA1_4025615208
3025,NA1_4025211494
3026,NA1_4025167612
3027,NA1_4024621577
3028,NA1_4024054240
3029,NA1_4024039283
3030,NA1_4022158250
3031,NA1_4022136831
3032,NA1_4022116319
3033,NA1_4022014440
3034,NA1_4021973559
3035,NA1_4021928132
3036,NA1_4021819218
3037,NA1_4021835966
3038,NA1_4021850907
3039,NA1_4021276453
3040,NA1_4021273856
3041,NA1_4021289747
3042,NA1_4019975947
3043,NA1_4019981764
3044,NA1_4019579353
3045,NA1_4019102389
3046,NA1_4018971623
3047,NA1_4018804012
3048,NA1_4018503191
3049,NA1_4018442671
3050,NA1_4017487034
3051,NA1_4017331428
3052,NA1_4017288528
3053,NA1_4016856019
3054,NA1_4016891364
3055,NA1_4016808679
3056,NA1_4016630975
3057,NA1_4016595812
3058,NA1_4016572571
3059,NA1_4016529446
3060,NA1_4016390427
3061,NA1_4016338466
3062,NA1_4016297329
3063,NA1_4016304884
3064,NA1_4015942486
3065,NA1_4015869540
3066,NA1_4015877112
3067,NA1_4015883109
3068,NA1_4015870548
3069,NA1_4015827350
3070,NA1_4014449328
3071,NA1_4014434947
3072,NA1_4014452273
3073,NA1_4014391119
3074,NA1_4013440468
3075,NA1_4013397392
3076,NA1_4013303181
3077,NA1_4012493531
3078,NA1_4012142375
3079,NA1_4012079670
3080,NA1_4012037213
3081,NA1_4012043995
3082,NA1_4012070002
3083,NA1_4011404363
3084,NA1_4011269678
3085,NA1_4011306445
3086,NA1_4011109874
3087,NA1_4011097362
3088,NA1_4011075677
3089,NA1_4010307081
3090,NA1_4008422836
3091,NA1_4005291255
3092,NA1_4005138978
3093,NA1_4005193927
3094,NA1_4004861416
3095,NA1_4004099233
3096,NA1_4003937032
3097,NA1_4003952126
3098,NA1_4003888240
3099,NA1_4003856857
3100,NA1_3994189390
3101,NA1_3994215990
3102,NA1_3994201770
3103,NA1_3994160660
3104,NA1_3990975226
3105,NA1_3990602170
3106,NA1_3990586444
3107,NA1_4082133606
3108,NA1_4082101165
3109,NA1_4082047329
3110,NA1_4082034299
3111,NA1_4082002710
3112,NA1_4080853707
3113,NA1_4080789150
3114,NA1_4080715563
3115,NA1_4077712362
3116,NA1_4077156861
3117,NA1_4077163376
3118,NA1_4076009567
3119,NA1_4075723287
3120,NA1_4074329710
3121,NA1_4074324599
3122,NA1_4074320683
3123,NA1_4074216887
3124,NA1_4072794568
3125,NA1_4072743110
3126,NA1_4072751169
3127,NA1_4071363661
3128,NA1_4071130552
3129,NA1_4071046041
3130,NA1_4071043561
3131,NA1_4071012437
3132,NA1_4069528784
3133,NA1_4069386621
3134,NA1_4069351358
3135,NA1_4069007732
3136,NA1_4068972736
3137,NA1_4068907299
3138,NA1_4068931525
3139,NA1_4068857081
3140,NA1_4068822033
3141,NA1_4068359080
3142,NA1_4067777468
3143,NA1_4067823156
3144,NA1_4067709484
3145,NA1_4067327393
3146,NA1_4067305034
3147,NA1_4066924540
3148,NA1_4066861831
3149,NA1_4066728835
3150,NA1_4066775603
3151,NA1_4065805650
3152,NA1_4065772292
3153,NA1_4065738385
3154,NA1_4065735079
3155,NA1_4065609105
3156,NA1_4065663617
3157,NA1_4065568965
3158,NA1_4065583900
3159,NA1_4065527198
3160,NA1_4064070629
3161,NA1_4064006748
3162,NA1_4064002673
3163,NA1_4063765943
3164,NA1_4063714154
3165,NA1_4062939905
3166,NA1_4062906198
3167,NA1_4062885114
3168,NA1_4061760540
3169,NA1_4061547121
3170,NA1_4061162764
3171,NA1_4061057408
3172,NA1_4061009489
3173,NA1_4060917918
3174,NA1_4060117299
3175,NA1_4059470817
3176,NA1_4059395093
3177,NA1_4059420535
3178,NA1_4059358788
3179,NA1_4058788197
3180,NA1_4058756502
3181,NA1_4058781800
3182,NA1_4058698583
3183,NA1_4058722273
3184,NA1_4058487506
3185,NA1_4057942035
3186,NA1_4057898051
3187,NA1_4057857020
3188,NA1_4057863900
3189,NA1_4057869896
3190,NA1_4057807155
3191,NA1_4057804922
3192,NA1_4056073015
3193,NA1_4055933549
3194,NA1_4055871588
3195,NA1_4055156122
3196,NA1_4055057589
3197,NA1_4054289412
3198,NA1_4054311143
3199,NA1_4052925448
3200,NA1_4052933359
3201,NA1_4052911647
3202,NA1_4052637659
3203,NA1_4051420921
3204,NA1_4051398648
3205,NA1_4051348136
3206,NA1_4051395951
3207,NA1_4089304295
3208,NA1_4089248806
3209,NA1_4088932041
3210,NA1_4088930478
3211,NA1_4088004647
3212,NA1_4087983497
3213,NA1_4087972244
3214,NA1_4087534725
3215,NA1_4087501095
3216,NA1_4087399173
3217,NA1_4087396352
3218,NA1_4085455966
3219,NA1_4085102363
3220,NA1_4084960112
3221,NA1_4084886395
3222,NA1_4083943787
3223,NA1_4083869252
3224,NA1_4083836143
3225,NA1_4083879910
3226,NA1_4083604828
3227,NA1_4082893382
3228,NA1_4082799090
3229,NA1_4082814705
3230,NA1_4082771879
3231,NA1_4082280988
3232,NA1_4082254269
3233,NA1_4082179416
3234,NA1_4081564966
3235,NA1_4078806259
3236,NA1_4078596088
3237,NA1_4078529556
3238,NA1_4078527793
3239,NA1_4078525797
3240,NA1_4077947391
3241,NA1_4077448797
3242,NA1_4077397254
3243,NA1_4077395934
3244,NA1_4076046378
3245,NA1_4072460698
3246,NA1_4072397203
3247,NA1_4072228162
3248,NA1_4070408601
3249,NA1_4069940657
3250,NA1_4069927260
3251,NA1_4069923758
3252,NA1_4069871504
3253,NA1_4065526997
3254,NA1_4065475996
3255,NA1_4065378350
3256,NA1_4065345996
3257,NA1_4064321454
3258,NA1_4062574469
3259,NA1_4062621553
3260,NA1_4062186987
3261,NA1_4062242373
3262,NA1_4062212312
3263,NA1_4062055605
3264,NA1_4061715927
3265,NA1_4061733418
3266,NA1_4061721429
3267,NA1_4061681330
3268,NA1_4059706559
3269,NA1_4059576563
3270,NA1_4057359110
3271,NA1_4056450798
3272,NA1_4056399064
3273,NA1_4056417471
3274,NA1_4056435392
3275,NA1_4056286935
3276,NA1_4056274065
3277,NA1_4056216671
3278,NA1_4055444592
3279,NA1_4055390406
3280,NA1_4052445621
3281,NA1_4052433833
3282,NA1_4052410338
3283,NA1_4049769282
3284,NA1_4046309658
3285,NA1_4046325211
3286,NA1_4045400457
3287,NA1_4044930882
3288,NA1_4044538673
3289,NA1_4044545337
3290,NA1_4044560560
3291,NA1_4044447792
3292,NA1_4044079268
3293,NA1_4043718265
3294,NA1_4043773575
3295,NA1_4043711077
3296,NA1_4043685761
3297,NA1_4043639705
3298,NA1_4043615167
3299,NA1_4043331275
3300,NA1_4043268464
3301,NA1_4042997182
3302,NA1_4041452615
3303,NA1_4036023498
3304,NA1_4036031633
3305,NA1_4036007867
3306,NA1_4036014917
3307,NA1_4085786552
3308,NA1_4085840398
3309,NA1_4074552038
3310,NA1_4074446070
3311,NA1_4074376456
3312,NA1_4074289689
3313,NA1_4074276655
3314,NA1_4073439890
3315,NA1_4073363066
3316,NA1_4073286184
3317,NA1_4073169360
3318,NA1_4073142464
3319,NA1_4073129917
3320,NA1_4073058407
3321,NA1_4072319544
3322,NA1_4072305041
3323,NA1_4070371226
3324,NA1_4064172774
3325,NA1_4064170853
3326,NA1_4057113685
3327,NA1_4056958062
3328,NA1_4055683160
3329,NA1_4055681962
3330,NA1_4055729893
3331,NA1_4055700289
3332,NA1_4055615889
3333,NA1_4055663690
3334,NA1_4055289957
3335,NA1_4055029802
3336,NA1_4054947154
3337,NA1_4053879820
3338,NA1_4053844851
3339,NA1_4053791245
3340,NA1_4053602156
3341,NA1_4053110382
3342,NA1_4052183196
3343,NA1_4052156988
3344,NA1_4052144132
3345,NA1_4052057861
3346,NA1_4052080578
3347,NA1_4050444414
3348,NA1_4050472080
3349,NA1_4050412353
3350,NA1_4050359413
3351,NA1_4050328721
3352,NA1_4048743415
3353,NA1_4048682155
3354,NA1_4047898685
3355,NA1_4047856256
3356,NA1_4047873412
3357,NA1_4047808745
3358,NA1_4047806824
3359,NA1_4047445383
3360,NA1_4047347168
3361,NA1_4047249187
3362,NA1_4047256601
3363,NA1_4046887744
3364,NA1_4046836448
3365,NA1_4046854209
3366,NA1_4046871907
3367,NA1_4046728920
3368,NA1_4046784551
3369,NA1_4046302144
3370,NA1_4046296886
3371,NA1_4046229692
3372,NA1_4046173957
3373,NA1_4046126807
3374,NA1_4046095691
3375,NA1_4046078865
3376,NA1_4046026537
3377,NA1_4046053479
3378,NA1_4046009166
3379,NA1_4045894907
3380,NA1_4045817575
3381,NA1_4045331176
3382,NA1_4045266533
3383,NA1_4045273034
3384,NA1_4045247756
3385,NA1_4045191442
3386,NA1_4045129213
3387,NA1_4045170966
3388,NA1_4045068741
3389,NA1_4044100037
3390,NA1_4044030038
3391,NA1_4043928675
3392,NA1_4043916936
3393,NA1_4043857461
3394,NA1_4043885475
3395,NA1_4043198129
3396,NA1_4043175999
3397,NA1_4043173580
3398,NA1_4041340610
3399,NA1_4041268783
3400,NA1_4041193755
3401,NA1_4041241947
3402,NA1_4041220773
3403,NA1_4040789522
3404,NA1_4040796445
3405,NA1_4040436232
3406,NA1_4040433440
3407,NA1_4086432895
3408,NA1_4086410441
3409,NA1_4086396152
3410,NA1_4086344517
3411,NA1_4084848392
3412,NA1_4084813611
3413,NA1_4084757965
3414,NA1_4083781932
3415,NA1_4083745966
3416,NA1_4083710965
3417,NA1_4083639023
3418,NA1_4083664313
3419,NA1_4083660555
3420,NA1_4082944863
3421,NA1_4082001578
3422,NA1_4079809278
3423,NA1_4079796349
3424,NA1_4078740965
3425,NA1_4078146565
3426,NA1_4077286500
3427,NA1_4076040999
3428,NA1_4074318085
3429,NA1_4074310308
3430,NA1_4073380941
3431,NA1_4072413588
3432,NA1_4071570894
3433,NA1_4071523770
3434,NA1_4070758716
3435,NA1_4070392329
3436,NA1_4069827981
3437,NA1_4068994690
3438,NA1_4067827713
3439,NA1_4067785544
3440,NA1_4067811465
3441,NA1_4067711150
3442,NA1_4066893751
3443,NA1_4063010820
3444,NA1_4062935097
3445,NA1_4061747751
3446,NA1_4061716643
3447,NA1_4061683910
3448,NA1_4060983807
3449,NA1_4060198162
3450,NA1_4058075764
3451,NA1_4058080767
3452,NA1_4057927731
3453,NA1_4057825385
3454,NA1_4057823837
3455,NA1_4057822818
3456,NA1_4057335985
3457,NA1_4056158108
3458,NA1_4055340690
3459,NA1_4054509231
3460,NA1_4054536028
3461,NA1_4054511854
3462,NA1_4054308820
3463,NA1_4051911771
3464,NA1_4051867446
3465,NA1_4050821051
3466,NA1_4050070037
3467,NA1_4048760802
3468,NA1_4048266478
3469,NA1_4047548963
3470,NA1_4046329882
3471,NA1_4046221375
3472,NA1_4046158448
3473,NA1_4046120806
3474,NA1_4045948788
3475,NA1_4045672956
3476,NA1_4045690848
3477,NA1_4045648664
3478,NA1_4045636768
3479,NA1_4045644220
3480,NA1_4045661282
3481,NA1_4045589593
3482,NA1_4045557748
3483,NA1_4045565074
3484,NA1_4045562752
3485,NA1_4045293386
3486,NA1_4043518834
3487,NA1_4043554491
3488,NA1_4042609539
3489,NA1_4041703336
3490,NA1_4041700036
3491,NA1_4041637295
3492,NA1_4041642336
3493,NA1_4041609067
3494,NA1_4041586807
3495,NA1_4041604111
3496,NA1_4041571133
3497,NA1_4040721154
3498,NA1_4039755442
3499,NA1_4038620043
3500,NA1_4038534649
3501,NA1_4037745089
3502,NA1_4037733055
3503,NA1_4037740736
3504,NA1_4037648828
3505,NA1_4037686268
3506,NA1_4037663046
3507,{status:
3508,{message:
3509,Bad
3510,Request
3511,-
3512,Exception
3513,decrypting
3514,nan
3515,status_code:
3516,400}}
3517,NA1_4042866987
3518,NA1_4041788845
3519,NA1_4030527658
3520,NA1_4019864813
3521,NA1_4019900847
3522,NA1_3986444803
3523,NA1_3984801088
3524,NA1_3984729718
3525,NA1_3964243604
3526,NA1_3964271067
3527,NA1_3964188580
3528,NA1_3963588492
3529,NA1_3960190890
3530,NA1_3954483890
3531,NA1_3741974527
3532,NA1_3724381927
3533,NA1_3724316031
3534,NA1_3724268072
3535,NA1_3724215055
3536,NA1_3723058854
3537,NA1_3723017139
3538,NA1_3723061166
3539,NA1_3723004828
3540,NA1_3722959852
3541,NA1_3722873876
3542,NA1_3722852202
3543,NA1_3722507240
3544,NA1_3721969271
3545,NA1_3722021876
3546,NA1_3721990171
3547,NA1_3721936566
3548,NA1_3721921359
3549,NA1_3721884527
3550,NA1_3721700768
3551,NA1_3721548095
3552,NA1_3720664545
3553,NA1_3720629179
3554,NA1_3720578741
3555,NA1_3720573310
3556,NA1_3701859887
3557,NA1_3700784315
3558,NA1_3856553327
3559,NA1_3815219150
3560,NA1_3815204704
3561,NA1_4087694951
3562,NA1_4084866315
3563,NA1_4084832859
3564,NA1_4083953219
3565,NA1_4083940865
3566,NA1_4083888236
3567,NA1_4083291128
3568,NA1_4083238320
3569,NA1_4083208695
3570,NA1_4074685214
3571,NA1_4074664208
3572,NA1_4053862597
3573,NA1_4053817038
3574,NA1_4050622013
3575,NA1_4044242183
3576,NA1_4044158639
3577,NA1_4039336388
3578,NA1_4035762171
3579,NA1_4025040973
3580,NA1_4013512859
3581,NA1_3974195128
3582,NA1_3970112707
3583,NA1_3970029862
3584,NA1_3969954559
3585,NA1_3969930026
3586,NA1_3969874706
3587,NA1_3969823508
3588,NA1_3959604776
3589,NA1_3954954901
3590,NA1_3955012523
3591,NA1_3954108691
3592,NA1_3954101907
3593,NA1_3951598409
3594,NA1_3949451914
3595,NA1_3949449947
3596,NA1_3947190336
3597,NA1_3947167660
3598,NA1_3946395092
3599,NA1_3946343570
3600,NA1_3944855430
3601,NA1_3943719782
3602,NA1_3941443158
3603,NA1_3939280188
3604,NA1_3939204415
3605,NA1_3938249116
3606,NA1_3937127859
3607,NA1_3936801297
3608,NA1_3936747058
3609,NA1_3934998366
3610,NA1_3934927976
3611,NA1_3931080434
3612,NA1_3931067450
3613,NA1_3929923262
3614,NA1_3929759497
3615,NA1_3928678418
3616,NA1_3925268851
3617,NA1_3925398578
3618,NA1_3925398510
3619,NA1_3923961565
3620,NA1_3921280820
3621,NA1_3918765772
3622,NA1_3912453511
3623,NA1_3883960209
3624,NA1_3883724117
3625,NA1_3883700477
3626,NA1_3881848935
3627,NA1_3881807144
3628,NA1_3881814992
3629,NA1_3881794328
3630,NA1_3881751634
3631,NA1_3879708929
3632,NA1_3879330485
3633,NA1_3877292580
3634,NA1_3875945897
3635,NA1_3874183034
3636,NA1_3874168947
3637,NA1_3874137167
3638,NA1_3874144585
3639,NA1_3874111079
3640,NA1_3874067213
3641,NA1_3874082780
3642,NA1_3866000718
3643,NA1_3865895050
3644,NA1_3851686493
3645,NA1_3844907355
3646,NA1_3844894220
3647,NA1_3836218894
3648,NA1_3836243766
3649,NA1_3836099291
3650,NA1_3836027240
3651,NA1_3833301401
3652,NA1_3832914072
3653,NA1_3832912110
3654,NA1_3827795299
3655,NA1_3827772364
3656,NA1_3825129984
3657,NA1_3825037324
3658,NA1_3825013886
3659,NA1_3825060574
3660,NA1_3824948258
3661,NA1_3748539058
3662,NA1_3748500430
3663,NA1_3748450149
3664,{status:
3665,{message:
3666,Bad
3667,Request
3668,-
3669,Exception
3670,decrypting
3671,nan
3672,status_code:
3673,400}}
3674,NA1_4049752178
3675,NA1_4048121686
3676,NA1_4048031195
3677,NA1_4047962854
3678,NA1_4047909968
3679,NA1_4047885997
3680,NA1_4047842681
3681,NA1_4047819502
3682,NA1_4047802418
3683,NA1_4047762005
3684,NA1_4047751165
3685,NA1_4047720871
3686,NA1_4046636497
3687,NA1_4046594390
3688,NA1_4046581119
3689,NA1_4045985403
3690,NA1_4046001458
3691,NA1_4045933378
3692,NA1_4045901034
3693,NA1_4045854134
3694,NA1_4045831586
3695,NA1_4045778056
3696,NA1_4045794621
3697,NA1_4045752651
3698,NA1_4045735960
3699,NA1_4045695633
3700,NA1_4045721807
3701,NA1_4045129606
3702,NA1_4045131981
3703,NA1_4045048989
3704,NA1_4045094876
3705,NA1_4045031516
3706,NA1_4044952208
3707,NA1_4044979889
3708,NA1_4044799437
3709,NA1_4044856069
3710,NA1_4044854574
3711,NA1_4044872698
3712,NA1_4043891560
3713,NA1_4043793351
3714,NA1_4043202784
3715,NA1_4042812597
3716,NA1_4042046092
3717,NA1_4042040763
3718,NA1_4041922083
3719,NA1_4041885272
3720,NA1_4041166755
3721,NA1_4041132827
3722,NA1_4040273037
3723,NA1_4040059372
3724,NA1_4039976870
3725,NA1_4039982158
3726,NA1_4039905710
3727,NA1_4039762787
3728,NA1_4038191213
3729,NA1_4038159408
3730,NA1_4038156519
3731,NA1_4038163453
3732,NA1_4038097648
3733,NA1_4037917637
3734,NA1_4037715997
3735,NA1_4037635205
3736,NA1_4037641564
3737,NA1_4036933773
3738,NA1_4036881637
3739,NA1_4036134232
3740,NA1_4036078634
3741,NA1_4035983596
3742,NA1_4035896147
3743,NA1_4035749487
3744,NA1_4035109246
3745,NA1_4035082768
3746,NA1_4035024087
3747,NA1_4034060076
3748,NA1_4033995692
3749,NA1_4033618946
3750,NA1_4031591548
3751,NA1_4031493388
3752,NA1_4031456719
3753,NA1_4031452785
3754,NA1_4031388530
3755,NA1_4030609247
3756,NA1_4030566207
3757,NA1_4030611362
3758,NA1_4030511537
3759,NA1_4030462262
3760,NA1_4030085104
3761,NA1_4029905133
3762,NA1_4028225344
3763,NA1_4028068533
3764,NA1_4027998322
3765,NA1_4027894487
3766,NA1_4027842305
3767,NA1_4027823422
3768,NA1_4027758739
3769,NA1_4027643083
3770,NA1_4026512566
3771,NA1_4026299425
3772,NA1_4025815750
3773,NA1_4025724121
3774,NA1_3831002099
3775,NA1_3817726739
3776,NA1_3817659315
3777,NA1_3817643827
3778,NA1_4067270927
3779,NA1_4067209395
3780,NA1_4020022113
3781,NA1_3995538988
3782,NA1_3995536976
3783,NA1_3994316428
3784,NA1_3994282788
3785,NA1_3992365124
3786,NA1_3952140672
3787,NA1_3945574014
3788,NA1_3945580851
3789,NA1_3944385123
3790,NA1_3944343999
3791,NA1_3944389891
3792,NA1_3944288496
3793,NA1_3941998335
3794,NA1_3938856917
3795,NA1_3938902671
3796,NA1_3936522018
3797,NA1_3934118374
3798,NA1_3934133992
3799,NA1_3934132063
3800,NA1_3922027093
3801,NA1_3921985301
3802,NA1_3922002447
3803,NA1_3922009833
3804,NA1_3921954846
3805,NA1_3917296942
3806,NA1_3917322293
3807,NA1_3906159768
3808,NA1_3906095760
3809,NA1_3906130015
3810,NA1_3903571346
3811,NA1_3903570224
3812,NA1_3903469199
3813,NA1_3903449791
3814,NA1_3897222740
3815,NA1_3897250752
3816,NA1_3897209831
3817,NA1_3888829560
3818,NA1_3888828091
3819,NA1_3888846665
3820,NA1_3884937815
3821,NA1_3884925831
3822,NA1_3883013456
3823,NA1_3882683895
3824,NA1_3875155709
3825,NA1_3875098687
3826,NA1_3875132829
3827,NA1_3875048064
3828,NA1_3875071148
3829,NA1_3874150948
3830,NA1_3864588786
3831,NA1_3864554035
3832,NA1_3863484169
3833,NA1_3863462949
3834,NA1_3862325413
3835,NA1_3862314925
3836,NA1_3862288774
3837,NA1_3862294595
3838,NA1_3862261663
3839,NA1_3862169236
3840,NA1_3862164669
3841,NA1_3862140000
3842,NA1_3859609462
3843,NA1_3859542430
3844,NA1_3859476801
3845,NA1_3859379713
3846,NA1_3859353433
3847,NA1_3858800421
3848,NA1_3857707415
3849,NA1_3857043030
3850,NA1_3856997701
3851,NA1_3856962291
3852,NA1_3856359591
3853,NA1_3849876223
3854,NA1_3846369995
3855,NA1_3846306143
3856,NA1_3842839043
3857,NA1_3842817465
3858,NA1_3841521746
3859,NA1_3841459539
3860,NA1_3840466167
3861,NA1_3840454685
3862,NA1_3840423358
3863,NA1_3837114231
3864,NA1_3837073504
3865,NA1_3837061681
3866,NA1_3827892889
3867,NA1_3827880760
3868,NA1_3826636779
3869,NA1_3826645059
3870,NA1_3826614411
3871,NA1_3826514113
3872,NA1_3826480908
3873,NA1_3826385697
3874,NA1_3826210523
3875,NA1_3825340794
3876,NA1_3825259508
3877,NA1_3825248015
3878,NA1_4068003964
3879,NA1_4060503547
3880,NA1_4060489662
3881,NA1_4060500061
3882,NA1_4060438474
3883,NA1_4060425409
3884,NA1_4060289910
3885,NA1_4060270363
3886,NA1_4060116455
3887,NA1_4060131581
3888,NA1_4044153708
3889,NA1_3990109370
3890,NA1_3990106751
3891,NA1_3975313898
3892,NA1_3975320864
3893,NA1_3951026838
3894,NA1_3951021835
3895,NA1_3944294914
3896,NA1_3944282809
3897,NA1_3944227857
3898,NA1_3944194807
3899,NA1_3942259693
3900,NA1_3941837477
3901,NA1_3941800804
3902,NA1_3939556494
3903,NA1_3939696196
3904,NA1_3941128987
3905,NA1_3941121838
3906,NA1_3941048307
3907,NA1_3939664336
3908,NA1_3939664204
3909,NA1_3939833865
3910,NA1_3939833743
3911,NA1_3939833378
3912,NA1_3933131488
3913,NA1_3933059192
3914,NA1_3933064257
3915,NA1_3933051269
3916,NA1_3932142143
3917,NA1_3923113634
3918,NA1_3923113252
3919,NA1_3912459154
3920,NA1_3912458272
3921,NA1_3912069148
3922,NA1_3912069128
3923,NA1_3912069108
3924,NA1_3894260800
3925,NA1_3894260701
3926,NA1_3891568283
3927,NA1_3891561961
3928,NA1_3887024982
3929,NA1_3884071011
3930,NA1_3884024290
3931,NA1_3883990325
3932,NA1_3881839434
3933,NA1_3881865662
3934,NA1_3881864392
3935,NA1_3880304989
3936,NA1_3880290585
3937,NA1_3880222367
3938,NA1_3878966878
3939,NA1_3875545933
3940,NA1_3875522984
3941,NA1_3875500122
3942,NA1_3874166619
3943,NA1_3874101879
3944,NA1_3873061427
3945,NA1_3873007865
3946,NA1_3872892914
3947,NA1_3872776036
3948,NA1_3872606801
3949,NA1_3867337295
3950,NA1_3867344071
3951,NA1_3867321376
3952,NA1_3867276627
3953,NA1_3853002503
3954,NA1_3852940281
3955,NA1_3852842354
3956,NA1_3837811442
3957,NA1_3837708547
3958,NA1_3834792855
3959,NA1_3834723297
3960,NA1_3833455131
3961,NA1_3833397552
3962,NA1_3833400760
3963,NA1_3832284111
3964,NA1_3832231466
3965,NA1_3831341130
3966,NA1_3831307911
3967,NA1_3830810403
3968,NA1_3830684787
3969,NA1_3830669367
3970,NA1_3830623969
3971,NA1_3827684270
3972,NA1_3827673540
3973,NA1_3827598328
3974,NA1_3827561075
3975,NA1_3827513490
3976,NA1_3824849855
3977,NA1_3824793287
3978,NA1_4060461070
3979,NA1_4031221821
3980,NA1_4012283037
3981,NA1_3918789317
3982,NA1_3918062580
3983,NA1_3915999955
3984,NA1_3912334861
3985,NA1_3913352546
3986,NA1_3771402318
3987,NA1_3716048446
3988,NA1_3712958381
3989,NA1_3709755392
3990,NA1_3708349017
3991,NA1_3705438752
3992,NA1_3703512475
3993,NA1_3702086399
3994,NA1_3700957675
3995,
3996,NA1_4083614719
3997,NA1_4077155528
3998,NA1_4077162563
3999,NA1_4077159852
4000,NA1_4075117047
4001,NA1_4075103574
4002,NA1_4070698147
4003,NA1_4068945609
4004,NA1_4068922666
4005,NA1_4068869502
4006,NA1_4068846514
4007,NA1_4068833427
4008,NA1_4068820395
4009,NA1_4068459839
4010,NA1_4068407058
4011,NA1_4066946329
4012,NA1_4066934381
4013,NA1_4066951271
4014,NA1_4065897859
4015,NA1_4065876000
4016,NA1_4065912278
4017,NA1_4065789354
4018,NA1_4065767660
4019,NA1_4065616878
4020,NA1_4065624529
4021,NA1_4065603152
4022,NA1_4065579266
4023,NA1_4065576454
4024,NA1_4065398095
4025,NA1_4065405906
4026,NA1_4065433454
4027,NA1_4065411978
4028,NA1_4064610355
4029,NA1_4064548855
4030,NA1_4064497921
4031,NA1_4062015219
4032,NA1_4059907020
4033,NA1_4059855596
4034,NA1_4056024821
4035,NA1_4054326004
4036,NA1_4054293464
4037,NA1_4054098909
4038,NA1_4054125707
4039,NA1_4054123397
4040,NA1_4053978614
4041,NA1_4053955411
4042,NA1_4053981418
4043,NA1_4052897185
4044,NA1_4031707360
4045,NA1_4031701488
4046,NA1_3996234194
4047,NA1_3974308107
4048,NA1_3974340707
4049,NA1_3866919227
4050,NA1_3854175572
4051,NA1_3854127520
4052,NA1_3854058375
4053,NA1_3819474784
4054,NA1_3817519500
4055,NA1_3817503478
4056,NA1_3817488228
4057,NA1_3817445929
4058,NA1_3817025871
4059,NA1_3817063456
4060,NA1_3817051705
4061,NA1_3816945433
4062,NA1_3816115745
4063,NA1_3816086340
4064,NA1_3815994349
4065,NA1_3814119085
4066,NA1_3814107635
4067,NA1_3814047438
4068,NA1_3813351225
4069,NA1_3813268563
4070,NA1_3813284914
4071,NA1_3813038337
4072,NA1_3812310939
4073,NA1_3812024964
4074,NA1_3811912488
4075,NA1_3811876591
4076,NA1_3811768665
4077,NA1_3811816067
4078,NA1_3811811139
4079,NA1_3811739406
4080,NA1_3808506382
4081,NA1_3808418312
4082,NA1_3808441893
4083,NA1_3808345797
4084,NA1_3808370506
4085,NA1_3806907982
4086,NA1_3806864193
4087,NA1_3806826242
4088,NA1_3806824483
