,0
290,NA1_4042797437
291,NA1_4041624646
292,NA1_4039959141
293,NA1_4038738227
294,NA1_4038669218
295,NA1_4037865312
296,NA1_4036678419
297,NA1_4036651518
298,NA1_4034909022
299,NA1_4031662406
300,NA1_4104540983
301,NA1_4104448652
302,NA1_4102874813
303,NA1_4102850317
304,NA1_4102802357
305,NA1_4102739013
306,NA1_4102314859
307,NA1_4102262875
308,NA1_4100366028
309,NA1_4100381969
310,NA1_4100298789
311,NA1_4100256087
312,NA1_4100177311
313,NA1_4097670749
314,NA1_4097624382
315,NA1_4097560794
316,NA1_4097526466
317,NA1_4097522722
318,NA1_4097454949
319,NA1_4097459864
320,NA1_4096146242
321,NA1_4096095124
322,NA1_4095980079
323,NA1_4095943602
324,NA1_4095920986
325,NA1_4095057515
326,NA1_4095100525
327,NA1_4094988646
328,NA1_4094974470
329,NA1_4094969440
330,NA1_4094917262
331,NA1_4094912294
332,NA1_4094839402
333,NA1_4094865616
334,NA1_4094872122
335,NA1_4094683380
336,NA1_4094643500
337,NA1_4094680947
338,NA1_4094670571
339,NA1_4093806655
340,NA1_4092512310
341,NA1_4092448450
342,NA1_4092425577
343,NA1_4092379512
344,NA1_4092337188
345,NA1_4092322901
346,NA1_4092278249
347,NA1_4092274637
348,NA1_4092281807
349,NA1_4092227478
350,NA1_4092224831
351,NA1_4092213089
352,NA1_4092139643
353,NA1_4092118346
354,NA1_4092146069
355,NA1_4092163820
356,NA1_4092161493
357,NA1_4092101148
358,NA1_4092129846
359,NA1_4092048991
360,NA1_4091379757
361,NA1_4091307706
362,NA1_4091305911
363,NA1_4091227097
364,NA1_4091203365
365,NA1_4091200920
366,NA1_4091178154
367,NA1_4091122594
368,NA1_4091150132
369,NA1_4091056980
370,NA1_4091055772
371,NA1_4091063341
372,NA1_4091049386
373,NA1_4091035805
374,NA1_4090992539
375,NA1_4090302292
376,NA1_4090299926
377,NA1_4090257291
378,NA1_4090215141
379,NA1_4089877904
380,NA1_4089935145
381,NA1_4089863733
382,NA1_4089832121
383,NA1_4089743467
384,NA1_4089596815
385,NA1_4089622878
386,NA1_4089581159
387,NA1_4089546320
388,NA1_4089541818
389,NA1_4089439610
390,NA1_4088795692
391,NA1_4088830792
392,NA1_4088790961
393,NA1_4088737850
394,NA1_4088740015
395,NA1_4088705216
396,NA1_4088672201
397,NA1_4088559143
398,NA1_4087689399
399,NA1_4087675414
400,NA1_4103045232
401,NA1_4103071535
402,NA1_4102998420
403,NA1_4101721964
404,NA1_4101657147
405,NA1_4101624314
406,NA1_4101607090
407,NA1_4101528297
408,NA1_4101494196
409,NA1_4101258734
410,NA1_4101243645
411,NA1_4101169429
412,NA1_4101185545
413,NA1_4100603186
414,NA1_4100619977
415,NA1_4100508231
416,NA1_4100534568
417,NA1_4100512840
418,NA1_4100448532
419,NA1_4100329535
420,NA1_4099497258
421,NA1_4099514628
422,NA1_4099500979
423,NA1_4099256070
424,NA1_4099202900
425,NA1_4099175719
426,NA1_4098222652
427,NA1_4098209742
428,NA1_4098144538
429,NA1_4098069089
430,NA1_4098101532
431,NA1_4098044945
432,NA1_4097959470
433,NA1_4097952940
434,NA1_4097886193
435,NA1_4097079538
436,NA1_4097133828
437,NA1_4097069987
438,NA1_4097046840
439,NA1_4097039897
440,NA1_4096963278
441,NA1_4096915196
442,NA1_4096809045
443,NA1_4096840083
444,NA1_4096730916
445,NA1_4096643082
446,NA1_4093149751
447,NA1_4093047009
448,NA1_4093021766
449,NA1_4092996458
450,NA1_4092942985
451,NA1_4092922701
452,NA1_4092808647
453,NA1_4092842125
454,NA1_4092794890
455,NA1_4092760863
456,NA1_4092696672
457,NA1_4092643425
458,NA1_4092586513
459,NA1_4092008227
460,NA1_4091963096
461,NA1_4091955512
462,NA1_4091929866
463,NA1_4091823314
464,NA1_4091796659
465,NA1_4091749228
466,NA1_4091674485
467,NA1_4091548165
468,NA1_4090956700
469,NA1_4090911066
470,NA1_4090896062
471,NA1_4090890691
472,NA1_4090773402
473,NA1_4090746834
474,NA1_4090709843
475,NA1_4089622856
476,NA1_4089568319
477,NA1_4089416074
478,NA1_4089380384
479,NA1_4088687317
480,NA1_4088703190
481,NA1_4088619353
482,NA1_4088643999
483,NA1_4088568563
484,NA1_4088535208
485,NA1_4088560513
486,NA1_4088471864
487,NA1_4088406969
488,NA1_4088385452
489,NA1_4083788580
490,NA1_4083675596
491,NA1_4082708117
492,NA1_4082285254
493,NA1_4082221204
494,NA1_4080876538
495,NA1_4080267020
496,NA1_4080294392
497,NA1_4080302571
498,NA1_4080209112
499,NA1_4080235042
500,NA1_4101033361
501,NA1_4101001727
